"","sp","time","value"
"641","Dab",2010,7.242e+09
"642","Whiting",2010,2.1947e+10
"643","Sole",2010,1.26e+10
"644","Gurnard",2010,2.64e+08
"645","Plaice",2010,1.065e+11
"646","Haddock",2010,3.964e+10
"647","Cod",2010,69286128555.6401
"648","Saithe",2010,1.025e+11
"649","Sprat",2011,NA
"650","Sandeel",2011,NA
"651","N.pout",2011,NA
"652","Herring",2011,NA
"653","Dab",2011,NA
"654","Whiting",2011,NA
"655","Sole",2011,NA
"656","Gurnard",2011,NA
"657","Plaice",2011,NA
"658","Haddock",2011,NA
"659","Cod",2011,NA
"660","Saithe",2011,NA
